post_id,influencer_id,post_datetime,content_type,post_format,follower_count,authority_log,verified,total_posts,highly_active_influencer,mean_days_between_posts,frequency_of_posts_per_month,log_of_frequency_of_posts_per_month,influencer_score,Rank,account_age_years,early_window_mins,early_likes,early_comments,early_shares,early_total_engagement,early_engagement_velocity,early_comment_share_ratio,persuasive_power_index,reach,impressions,impressions_per_reach,exposure_persistence_hours,reach_growth_rate,algorithmic_amplification_index,very_high_reach,post_early_likes,post_early_comments,post_early_shares,post_early_total_engagement,link_clicks,saves,profile_visits,click_through_rate,save_rate,engagement_success_index,low_effort_engagement,high_effort_engagement,high_enough_reach,spike_indicator,likes_spike_indicator,post_success_score,Early_and_total_likes,reach_to_follower_ratio,total_likes,sustained_engagement
9636.0,210.0,2024-03-30 00:00:00,experiential,image,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,65.0,5.0,10.0,80.0,1.333333333,0.545454545,-0.026849558,22859.0,26891.0,1.176,5.95,0.229,0.348292476,0.0,207188.0,4.0,1.0,207193.0,96.0,1.0,61.0,0.0042,4.4e-05,3.563571473,207188.0,158.0,1.0,0.00039,0.0003137,9.063738571,False,0.0163,207253.0,1
9438.0,210.0,2025-02-18 00:00:00,experiential,video,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,148.0,8.0,7.0,163.0,2.716666667,1.125,0.6032402,32789.0,32789.0,1.0,5.29,0.329,0.377250194,0.0,83922.0,3.0,1.0,83926.0,15.0,33.0,50.0,0.000457,0.001006,4.144534499,83922.0,98.0,1.0,0.00194,0.0017635,2.559455915,False,0.0234,84070.0,1
3875.0,210.0,2025-09-10 00:00:00,promotional,image,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,45.0,14.0,4.0,63.0,1.05,3.0,-0.045902006,66573.0,153813.0,2.31,6.32,0.319,1.72875234,1.0,169747.0,3.0,2.0,169752.0,115.0,34.0,169.0,0.001727,0.000511,5.69777682,169747.0,318.0,1.0,0.00037,0.0002651,2.549787451,False,0.0475,169792.0,1
6646.0,210.0,2025-10-27 00:00:00,promotional,image,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,151.0,6.0,8.0,165.0,2.75,0.777777778,0.582012404,54427.0,79826.0,1.467,5.73,0.301,1.123513739,1.0,123829.0,6.0,0.0,123835.0,114.0,16.0,37.0,0.002095,0.000294,4.80443754,123829.0,167.0,1.0,0.00133,0.0012194,2.275139177,False,0.0388,123980.0,1
8670.0,210.0,2025-04-13 00:00:00,informational,image,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,50.0,1.0,2.0,53.0,0.883333333,0.666666667,-0.663796051,26245.0,29893.0,1.139,6.03,0.239,0.455197456,0.0,45638.0,1.0,0.0,45639.0,126.0,10.0,45.0,0.004801,0.000381,4.658880064,45638.0,181.0,1.0,0.00116,0.0010956,1.738921699,False,0.0187,45688.0,1
36.0,210.0,2025-01-03 00:00:00,informational,image,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,303.0,8.0,9.0,320.0,5.333333333,0.9,1.865692627,751750.0,1102386.0,1.466,5.19,0.4,3.062309257,1.0,876775.0,2.0,0.0,876777.0,151.0,19.0,13.0,0.000201,2.5e-05,4.764992949,876775.0,183.0,1.0,0.00036,0.0003456,1.166311939,False,0.5366,877078.0,1
4263.0,210.0,2024-03-24 00:00:00,informational,video,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,154.0,2.0,2.0,158.0,2.633333333,1.0,0.168612955,24817.0,40680.0,1.639,5.39,0.281,0.497121017,0.0,24401.0,1.0,0.0,24402.0,32.0,26.0,54.0,0.001289,0.001048,4.456663819,24401.0,112.0,1.0,0.00647,0.0063112,0.983237297,False,0.0177,24555.0,1
4604.0,210.0,2024-04-14 00:00:00,experiential,carousel,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,121.0,29.0,2.0,152.0,2.533333333,10.0,1.099640125,195531.0,352080.0,1.801,5.93,0.346,2.316132578,1.0,183826.0,1.0,0.0,183827.0,59.0,23.0,57.0,0.000302,0.000118,4.755334366,183826.0,139.0,1.0,0.00083,0.0006582,0.94013737,False,0.1396,183947.0,1
594.0,210.0,2024-10-11 00:00:00,informational,image,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,42.0,18.0,5.0,65.0,1.083333333,3.166666667,0.149876126,22258.0,33635.0,1.511,6.22,0.371,0.54828049,0.0,14751.0,0.0,0.0,14751.0,12.0,15.0,0.0,0.000539,0.000674,2.377895265,14751.0,27.0,1.0,0.00441,0.0028473,0.662728008,False,0.0159,14793.0,1
5909.0,210.0,2025-09-04 00:00:00,promotional,carousel,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,161.0,20.0,1.0,182.0,3.033333333,10.5,0.96568775,335667.0,782384.0,2.331,3.36,0.29,2.198720183,1.0,194313.0,1.0,0.0,194314.0,21.0,5.0,12.0,6.3e-05,1.5e-05,2.874833844,194313.0,38.0,1.0,0.00094,0.0008286,0.578886218,False,0.2396,194474.0,1
7068.0,210.0,2024-12-26 00:00:00,experiential,image,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,129.0,34.0,14.0,177.0,2.95,2.333333333,1.90135182,499211.0,499211.0,1.0,3.39,0.313,1.960528873,1.0,261009.0,2.0,0.0,261011.0,45.0,3.0,14.0,9e-05,6e-06,3.110190833,261009.0,62.0,1.0,0.00068,0.0004942,0.522843046,False,0.3563,261138.0,1
5128.0,210.0,2025-10-04 00:00:00,experiential,video,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,135.0,4.0,5.0,144.0,2.4,0.833333333,0.242605788,23819.0,24000.0,1.008,5.44,0.264,0.166848159,0.0,8455.0,3.0,0.0,8458.0,85.0,6.0,8.0,0.003569,0.000252,3.662466596,8455.0,99.0,1.0,0.01703,0.0159669,0.354968722,False,0.017,8590.0,1
6967.0,210.0,2024-01-06 00:00:00,experiential,image,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,211.0,5.0,15.0,231.0,3.85,0.375,1.2979264,1174098.0,1174098.0,1.0,3.37,0.41,2.627708636,1.0,305669.0,0.0,0.0,305669.0,69.0,10.0,58.0,5.9e-05,9e-06,4.381978564,305669.0,137.0,1.0,0.00076,0.0006903,0.260343685,False,0.838,305880.0,1
1698.0,210.0,2024-09-28 00:00:00,promotional,video,1401049.0,14.1527318,1.0,17.0,0.0,39.0,0.71,-0.34,13.81,1.0,2.24,60.0,106.0,32.0,18.0,156.0,2.6,1.736842105,1.81353229,813787.0,1339212.0,1.646,3.78,0.399,2.796827469,1.0,145416.0,1.0,1.0,145418.0,25.0,27.0,24.0,3.1e-05,3.3e-05,4.098937868,145416.0,76.0,1.0,0.00107,0.0007289,0.178690493,False,0.5808,145522.0,1
